family,family_key,instance,cluster_path,sha256,bytes,release_sha256,same_as_release,model_text_sha256,equals_historical,in_10k_pool,demand_above_total_hours,max_demand_minus_total,seed,rn_fuente,sg_fuente,demanda_fuente,economia_agua_fuente,costo_falla_fuente,termica_fuente,mercado_fuente,bellman_fuente,huella_semantica_sha256,es_historica,validacion_estructural,export_ok,rows,cols,integer_vars,binary_vars,continuous_vars,nonzeros,coef_min,coef_max
Simple,simple,v1_simple_000001,/clusteruy/home/Grupos/UTE_FING/mathiasr/soluciones_seccion45/simple/instancias/v1_simple_000001.txt,d65d190974c1539cce8458dd7765ad4bff8628423e28fc77f095ebbde3c9e307,6872,d65d190974c1539cce8458dd7765ad4bff8628423e28fc77f095ebbde3c9e307,True,c4531e6b80c6d834d800bfcb5218ff559241c268bfe252583696da5c496e2ef8,,False,,,20260717,entradas/entrada-modelo-simple/caso29a.txt,,entradas/entrada-modelo-simple/caso24d.txt,entradas/entrada-modelo-simple/caso01c.txt,entradas/entrada-modelo-simple/caso01a.txt,,,,20ea35906d14a3fd5763348a8e9ae3f8a269642f2eacdd97bf208c119da0e48c,no,ok,True,14400,10800,2160,2160,8640,35590,0.0020692640589315436,1769691591.0805
Simple,simple,v1_simple_000002,/clusteruy/home/Grupos/UTE_FING/mathiasr/soluciones_seccion45/simple/instancias/v1_simple_000002.txt,f9eb9602611366776410fb7772c41c46cad570b9ec536bdc241286d9edc6b071,9495,f9eb9602611366776410fb7772c41c46cad570b9ec536bdc241286d9edc6b071,True,720fb55876d19641ce4a06d681f2f492c44884ce6664d0150e2c624685a0caf0,,False,,,20260717,entradas/entrada-modelo-simple/caso20a.txt,,entradas/entrada-modelo-simple/caso42d.txt,entradas/entrada-modelo-simple/caso01b.txt,entradas/entrada-modelo-simple/caso01d.txt,,,,895d6e979c861b78ffe7a3645f45dd036e71c608d3aed5f7dacf73a859020063,no,ok,True,14400,10800,2160,2160,8640,35590,0.002573716057247912,1503649991.9409006
Simple,simple,v1_simple_000003,/clusteruy/home/Grupos/UTE_FING/mathiasr/soluciones_seccion45/simple/instancias/v1_simple_000003.txt,d0ae9039f7edb60850a820c1a666c244528c635df380fe683182307763168b3d,9292,d0ae9039f7edb60850a820c1a666c244528c635df380fe683182307763168b3d,True,84f3ff2174810ed86ab0b0c86b0bf202cecfe69364842820c088eaec11b2fc82,,False,,,20260717,entradas/entrada-modelo-simple/caso43a.txt,,entradas/entrada-modelo-simple/caso14a.txt,entradas/entrada-modelo-simple/caso01a.txt,entradas/entrada-modelo-simple/caso01a.txt,,,,9111a6466a948d0c745384f207f95b8764d9eb84ac0e0fe2386e56f7c160a7df,no,ok,True,14400,10800,2160,2160,8640,35590,0.002526097904259083,1466650885.4254
Simple,simple,v1_simple_000004,/clusteruy/home/Grupos/UTE_FING/mathiasr/soluciones_seccion45/simple/instancias/v1_simple_000004.txt,8cb86166477c1296052cca76672482d2103ea8aadb908d64ca6213d2b1fd9eef,8288,8cb86166477c1296052cca76672482d2103ea8aadb908d64ca6213d2b1fd9eef,True,37288d78e175f03b31564b6142d114f89f8cc7dfd7f9d7f922f72564586cb6cd,,False,,,20260717,entradas/entrada-modelo-simple/caso21a.txt,,entradas/entrada-modelo-simple/caso21d.txt,entradas/entrada-modelo-simple/caso01b.txt,entradas/entrada-modelo-simple/caso01a.txt,,,,0006db4a8d2606d0d111736018f75690754a0ce98e1b0f670236a0faf6aedbde,no,ok,True,14400,10800,2160,2160,8640,35590,0.0026214232932998266,1719266684.8306
Simple,simple,v1_simple_000005,/clusteruy/home/Grupos/UTE_FING/mathiasr/soluciones_seccion45/simple/instancias/v1_simple_000005.txt,438b628a56272d53943c56803c2fd7471e6074a98a3db55b4248a1dcd1acbc8a,6966,438b628a56272d53943c56803c2fd7471e6074a98a3db55b4248a1dcd1acbc8a,True,b385389932247c6b24a7dccffa927e0d3e851f8a40ba8341afadfcf21b18d515,,False,,,20260717,entradas/entrada-modelo-simple/caso04a.txt,,entradas/entrada-modelo-simple/caso45a.txt,entradas/entrada-modelo-simple/caso01c.txt,entradas/entrada-modelo-simple/caso01a.txt,,,,4835f90e4edc2ae519fcd6a67d6a3510358f6f061100bb527eac0c7e6a14eeb1,no,ok,True,14400,10800,2160,2160,8640,35590,0.0019490160631476913,1799419750.0653
Simple,simple,v1_simple_000006,/clusteruy/home/Grupos/UTE_FING/mathiasr/soluciones_seccion45/simple/instancias/v1_simple_000006.txt,085ef1e5e091de5c734b8c23051f11df6f38cf55b93091487dbf1eb3651a31e2,7508,085ef1e5e091de5c734b8c23051f11df6f38cf55b93091487dbf1eb3651a31e2,True,a7d14693d6d4351a10294e96a60880770a8a912941f982b1a5f601997a192381,,False,,,20260717,entradas/entrada-modelo-simple/caso31a.txt,,entradas/entrada-modelo-simple/caso20d.txt,entradas/entrada-modelo-simple/caso01a.txt,entradas/entrada-modelo-simple/caso01d.txt,,,,b520f05f8319cac6d7ac351b23278da54570eb86b9012a5ab7acf2c087a8fd20,no,ok,True,14400,10800,2160,2160,8640,35590,0.0018525691930238574,1798979718.921
Simple,simple,v1_simple_000007,/clusteruy/home/Grupos/UTE_FING/mathiasr/soluciones_seccion45/simple/instancias/v1_simple_000007.txt,3fd3d7f21355f3d84991300bb1558371f087367777ba3476b7351897789fbc43,8596,3fd3d7f21355f3d84991300bb1558371f087367777ba3476b7351897789fbc43,True,6945a5fb823095ab4a2dd17cf14ec33e237cab4525eb82bf135afde22db58fd5,,False,,,20260717,entradas/entrada-modelo-simple/caso22a.txt,,entradas/entrada-modelo-simple/caso31d.txt,entradas/entrada-modelo-simple/caso01c.txt,entradas/entrada-modelo-simple/caso01d.txt,,,,02e6aa78d9ca0f70880c00389fffef6ee322e652759f07d29299d59f109bca91,no,ok,True,14400,10800,2160,2160,8640,35590,0.002604348626545013,1707097051.2983
Simple,simple,v1_simple_000008,/clusteruy/home/Grupos/UTE_FING/mathiasr/soluciones_seccion45/simple/instancias/v1_simple_000008.txt,20782c7dc4cff76460d29307d90680bb15ff379a2943b17af5afb021e608274e,6964,20782c7dc4cff76460d29307d90680bb15ff379a2943b17af5afb021e608274e,True,e593dc0f85027bed8a0e33a5ad4e819e31edf5b41bd83ed7699bcbbbb5aa89b0,,False,,,20260717,entradas/entrada-modelo-simple/caso28a.txt,,entradas/entrada-modelo-simple/caso43a.txt,entradas/entrada-modelo-simple/caso01a.txt,entradas/entrada-modelo-simple/caso01a.txt,,,,be37a5e38d8b8d5a8fd1407ab88870bd40f35b3e833c77ef7b4456b014964b9d,no,ok,True,14400,10800,2160,2160,8640,35590,0.0020996497451643077,1741459810.9221
Simple,simple,v1_simple_000009,/clusteruy/home/Grupos/UTE_FING/mathiasr/soluciones_seccion45/simple/instancias/v1_simple_000009.txt,bff4d21bdedd8d49b75597c9f018068fe1c12fdf4f57cc4e245cf242c9cb29a5,8871,bff4d21bdedd8d49b75597c9f018068fe1c12fdf4f57cc4e245cf242c9cb29a5,True,8c7951fd48c37e75e78bbe0f6cb91576bfac494cb708d1220d043f7ef4a910b5,,False,,,20260717,entradas/entrada-modelo-simple/caso42a.txt,,entradas/entrada-modelo-simple/caso11d.txt,entradas/entrada-modelo-simple/caso01b.txt,entradas/entrada-modelo-simple/caso01d.txt,,,,740a83b7b64437db86da4b13ff4fb7f80ea3d572170537827fc65acb3c548726,no,ok,True,14400,10800,2160,2160,8640,35590,0.002527301010933894,1726407998.9667997
Simple,simple,v1_simple_000010,/clusteruy/home/Grupos/UTE_FING/mathiasr/soluciones_seccion45/simple/instancias/v1_simple_000010.txt,aee9b28fbefc689a4230c3663adbac8fb9e478cff0fcac1330e412db01abd038,8821,aee9b28fbefc689a4230c3663adbac8fb9e478cff0fcac1330e412db01abd038,True,97a29e9191199adb0f55cfc522501eb2de333c3672696421639efb96d09968a7,,False,,,20260717,entradas/entrada-modelo-simple/caso46a.txt,,entradas/entrada-modelo-simple/caso05d.txt,entradas/entrada-modelo-simple/caso01b.txt,entradas/entrada-modelo-simple/caso01a.txt,,,,ee97c8c6a115c8010131039f8f368ae652367f0ef7c5954cacf1ec5e366899a0,no,ok,True,14400,10800,2160,2160,8640,35590,0.002570283390526053,1683157199.4189
Simple,simple,v1_simple_000011,/clusteruy/home/Grupos/UTE_FING/mathiasr/soluciones_seccion45/simple/instancias/v1_simple_000011.txt,f942134b86dc3aaf9bd38defdd742e93e6dc4071d894a98d0feeef7b0f9de0e2,8198,f942134b86dc3aaf9bd38defdd742e93e6dc4071d894a98d0feeef7b0f9de0e2,True,3d7148adaffd1a362570a276d5de77f6a623e1e53f76e0b67d4a4f1a2e53e8d6,,False,,,20260717,entradas/entrada-modelo-simple/caso27a.txt,,entradas/entrada-modelo-simple/caso04d.txt,entradas/entrada-modelo-simple/caso01a.txt,entradas/entrada-modelo-simple/caso01a.txt,,,,4f96084cdbf0a4dd2fadb3854676a4a093c5e4d3256c4545ff02f70793c8c0df,no,ok,True,14400,10800,2160,2160,8640,35590,0.002131836070068362,1699122309.8735
