model_id,family,seed,exponent,presolve,method,solver,status,category,original_row_budget,exported_row_tolerance,exact_scaled_row_tolerance,rounded_feasible,rounded_objective,rounded_optimum,strict_integrality,native_integrality,original_max_violation,exported_max_violation,exported_max_tolerance_ratio,max_integrality_error,objective_difference
cardinality_s100_e0,cardinality,100,0,False,L2,highs,kOptimal,verified_optimum,True,True,True,True,136,True,True,True,0.0,0.0,0.0,0.0,0
cardinality_s100_e0,cardinality,100,0,False,L2,gurobi,2,verified_optimum,True,True,True,True,136,True,True,True,0.0,0.0,0.0,0.0,0
cardinality_s100_e0,cardinality,100,0,False,Budget-GM,highs,kOptimal,verified_optimum,True,True,True,True,136,True,True,True,0.0,0.0,0.0,0.0,0
cardinality_s100_e0,cardinality,100,0,False,Budget-GM,gurobi,2,verified_optimum,True,True,True,True,136,True,True,True,0.0,0.0,0.0,0.0,0
cardinality_s100_e0,cardinality,100,0,False,GM,highs,kOptimal,verified_optimum,True,True,True,True,136,True,True,True,0.0,0.0,0.0,0.0,0
cardinality_s100_e0,cardinality,100,0,False,GM,gurobi,2,verified_optimum,True,True,True,True,136,True,True,True,0.0,0.0,0.0,0.0,0
cardinality_s100_e0,cardinality,100,0,False,Dyadic-GM,highs,kOptimal,verified_optimum,True,True,True,True,136,True,True,True,0.0,0.0,0.0,0.0,0
cardinality_s100_e0,cardinality,100,0,False,Dyadic-GM,gurobi,2,verified_optimum,True,True,True,True,136,True,True,True,0.0,0.0,0.0,0.0,0
cardinality_s100_e0,cardinality,100,0,False,Base,highs,kOptimal,verified_optimum,True,True,True,True,136,True,True,True,0.0,0.0,0.0,0.0,0
cardinality_s100_e0,cardinality,100,0,False,Base,gurobi,2,verified_optimum,True,True,True,True,136,True,True,True,0.0,0.0,0.0,0.0,0
cardinality_s100_e0,cardinality,100,0,False,Budget-round,highs,kOptimal,verified_optimum,True,True,True,True,136,True,True,True,0.0,0.0,0.0,0.0,0
cardinality_s100_e0,cardinality,100,0,False,Budget-round,gurobi,2,verified_optimum,True,True,True,True,136,True,True,True,0.0,0.0,0.0,0.0,0
cardinality_s100_e0,cardinality,100,0,False,Budget-only,highs,kOptimal,verified_optimum,True,True,True,True,136,True,True,True,0.0,0.0,0.0,0.0,0
cardinality_s100_e0,cardinality,100,0,False,Budget-only,gurobi,2,verified_optimum,True,True,True,True,136,True,True,True,0.0,0.0,0.0,0.0,0
cardinality_s100_e0,cardinality,100,0,False,GM-tight,highs,kOptimal,verified_optimum,True,True,True,True,136,True,True,True,0.0,0.0,0.0,0.0,0
cardinality_s100_e0,cardinality,100,0,False,GM-tight,gurobi,2,verified_optimum,True,True,True,True,136,True,True,True,0.0,0.0,0.0,0.0,0
cardinality_s100_e0,cardinality,100,0,False,Budget-dyadic,highs,kOptimal,verified_optimum,True,True,True,True,136,True,True,True,0.0,0.0,0.0,0.0,0
cardinality_s100_e0,cardinality,100,0,False,Budget-dyadic,gurobi,2,verified_optimum,True,True,True,True,136,True,True,True,0.0,0.0,0.0,0.0,0
cardinality_s100_e0,cardinality,100,0,True,Budget-GM,highs,kOptimal,verified_optimum,True,True,True,True,136,True,True,True,0.0,0.0,0.0,0.0,0
