run_id,stage,shard,order,family,instance,instance_path,instance_sha256,policy,solver,gap,seed,cap_s,threads,campaign_id,manifest_sha256,git_commit,binary_sha256,solver_version,primal_feasibility_tol,integrality_tol,presolve,internal_scaling,node,cpu_model,slurm_job_id,slurm_array_task_id,start_utc,end_utc,wall_s,return_code,outcome,infrastructure_failure,external_timeout,nosol_status,nosol_time_s,nosol_best_bound,highs_model_status,highs_lp_iterations,objetivo_post,status_solver,tiempo_solver_s,gap_pct,objetivo_solver,best_bound,nodos_explorados,iter_simplex,work_units,dettime_ticks,root_gap,root_time,presolve_time_s,rows_presolved,cols_presolved,solver_warnings,solver_warnings_txt,verif_solver_max_le,verif_solver_max_ge,verif_solver_max_eq,verif_solver_max_lb,verif_solver_max_ub,verif_solver_max_int,verif_solver_max_viol_rel,verif_solver_max_viol_relact,verif_solver_missing,verif_solver_obj_original,verif_post_max_le,verif_post_max_ge,verif_post_max_eq,verif_post_max_lb,verif_post_max_ub,verif_post_max_int,verif_post_max_viol_rel,verif_post_max_viol_relact,verif_post_missing,verif_post_obj_original,completed,censored,failed,no_incumbent,par10_s,verified
pilot-cplex-completo-v1_completo_000006-Base-g0.001-s1,pilot,23,47,Full,v1_completo_000006,data/benchmark-v1/completo/v1_completo_000006.txt,910259d2469b2f508a9cf3b785394959df2ee943a5a049a0bb9e8beb5c428729,Base,cplex,0.001,1,7200.0,1,solver-robustness-v1,bee029090366943c2496a73a20240bfe5700fbd938e38f8542334561728cb78f,699fddaf6c983966dc9f6cffd8bc9952f59e030e,d7279d978438547fa2203930a8f0839b0854d4f85a384fc4388dab18d07d7a19,22.1.2.0,1e-06,1e-05,solver default,solver default,node11.datos.cluster.uy,Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,5807949,23,2026-09-24T06:23:34+00:00,2026-09-24T06:45:03+00:00,1288.7752129882574,0,COMPLETED,False,False,,,,,,272018.0,OPTIMAL,1270.59753231,0.099738162888093,272017.8412904177,271746.5356927868,29981.0,1096305.0,,1564194.212026,0.997253,1790231034.637134,0.04,20381.0,14498.0,0,,7.70228325563949e-12,0.0,6.6760927438736e-05,9.09494701772928e-13,1.81898940354586e-12,2.08221287434363e-12,6.6760927438736e-05,2.04890010086673e-08,0.0,272017.841290418,36.6329362356796,11185.5072818505,148126754.157423,1.62019703209282e-13,1.81898940354586e-12,2.08221287434363e-12,148126754.157423,1.0,0.0,272017.841290418,True,False,False,False,1270.59753231,True
pilot-cplex-completo-v1_completo_000006-Base-g0.01-s1,pilot,23,46,Full,v1_completo_000006,data/benchmark-v1/completo/v1_completo_000006.txt,910259d2469b2f508a9cf3b785394959df2ee943a5a049a0bb9e8beb5c428729,Base,cplex,0.01,1,7200.0,1,solver-robustness-v1,bee029090366943c2496a73a20240bfe5700fbd938e38f8542334561728cb78f,699fddaf6c983966dc9f6cffd8bc9952f59e030e,d7279d978438547fa2203930a8f0839b0854d4f85a384fc4388dab18d07d7a19,22.1.2.0,1e-06,1e-05,solver default,solver default,node11.datos.cluster.uy,Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,5807949,23,2026-09-24T06:04:11+00:00,2026-09-24T06:23:33+00:00,1162.4902614820749,0,COMPLETED,False,False,,,,,,272021.0,OPTIMAL,1145.739050919,0.999626913105327,272020.8900373674,269301.69601128524,23672.0,1019726.0,,1448298.389129,0.997253,1790229871.104324,0.04,20381.0,14498.0,0,,9.52127265918534e-12,0.0,1.30385160446167e-06,4.76837158203125e-07,1.81898940354586e-12,3.20441069512345e-12,1.30385160446167e-06,4.49707184017453e-12,0.0,272020.890037367,36.5984326627989,11185.491883208,148152504.535733,4.76837158203125e-07,1.81898940354586e-12,3.20441069512345e-12,148152504.535733,1.0,0.0,272020.890037367,True,False,False,False,1145.739050919,True
pilot-cplex-completo-v1_completo_000009-Base-g0.001-s1,pilot,43,87,Full,v1_completo_000009,data/benchmark-v1/completo/v1_completo_000009.txt,d2f3e4d1138b20f49de35b47373ddf553fcde304e126b4e24938bf3a4da0f0b2,Base,cplex,0.001,1,7200.0,1,solver-robustness-v1,bee029090366943c2496a73a20240bfe5700fbd938e38f8542334561728cb78f,699fddaf6c983966dc9f6cffd8bc9952f59e030e,d7279d978438547fa2203930a8f0839b0854d4f85a384fc4388dab18d07d7a19,22.1.2.0,1e-06,1e-05,solver default,solver default,node11.datos.cluster.uy,Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,5808046,43,2026-09-24T06:17:18+00:00,2026-09-24T06:17:51+00:00,32.132391860708594,0,COMPLETED,False,False,,,,,,-702554.0,OPTIMAL,22.819064654,0.099382521256922,-702553.6184755578,-703251.8339747805,486.0,19424.0,,32295.49091,3.790859,1790230655.943744,0.05,19211.0,13925.0,0,,7.27595761418343e-12,0.0,2.38418579101562e-07,6.66133814775094e-16,2.27373675443232e-13,4.44089209850063e-16,5.58793544769287e-09,8.73595194464585e-14,0.0,-702553.618475558,50.1183424506685,15935.1721133392,16912575.842345,6.66133814775094e-16,2.27373675443232e-13,4.44089209850063e-16,16912575.842345,1.0,0.0,-702553.618475558,True,False,False,False,22.819064654,True
pilot-cplex-completo-v1_completo_000009-Base-g0.01-s1,pilot,43,86,Full,v1_completo_000009,data/benchmark-v1/completo/v1_completo_000009.txt,d2f3e4d1138b20f49de35b47373ddf553fcde304e126b4e24938bf3a4da0f0b2,Base,cplex,0.01,1,7200.0,1,solver-robustness-v1,bee029090366943c2496a73a20240bfe5700fbd938e38f8542334561728cb78f,699fddaf6c983966dc9f6cffd8bc9952f59e030e,d7279d978438547fa2203930a8f0839b0854d4f85a384fc4388dab18d07d7a19,22.1.2.0,1e-06,1e-05,solver default,solver default,node11.datos.cluster.uy,Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,5808046,43,2026-09-24T06:16:47+00:00,2026-09-24T06:17:18+00:00,30.685323555022478,0,COMPLETED,False,False,,,,,,-702554.0,OPTIMAL,21.600610594,0.68682468583737,-702553.6184755578,-707378.9301584916,364.0,14094.0,,30252.308938,3.790859,1790230625.052517,0.05,19211.0,13925.0,0,,7.27595761418343e-12,0.0,2.38418579101562e-07,6.66133814775094e-16,2.27373675443232e-13,4.44089209850063e-16,5.58793544769287e-09,8.73595194464585e-14,0.0,-702553.618475558,50.1183424506685,15935.1721133392,16912575.842345,6.66133814775094e-16,2.27373675443232e-13,4.44089209850063e-16,16912575.842345,1.0,0.0,-702553.618475558,True,False,False,False,21.600610594,True
pilot-cplex-completo-v1_completo_000027-Base-g0.001-s1,pilot,24,49,Full,v1_completo_000027,data/benchmark-v1/completo/v1_completo_000027.txt,d5f70f358698752a2d2497e187877a23c23ee2af027b26479f3689756023e593,Base,cplex,0.001,1,7200.0,1,solver-robustness-v1,bee029090366943c2496a73a20240bfe5700fbd938e38f8542334561728cb78f,699fddaf6c983966dc9f6cffd8bc9952f59e030e,d7279d978438547fa2203930a8f0839b0854d4f85a384fc4388dab18d07d7a19,22.1.2.0,1e-06,1e-05,solver default,solver default,node11.datos.cluster.uy,Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,5807950,24,2026-09-24T06:04:50+00:00,2026-09-24T06:05:28+00:00,38.331500763073564,0,COMPLETED,False,False,,,,,,-1801370.0,OPTIMAL,31.480891784,0.099877444852561,-1801367.5055395416,-1803166.6653764788,911.0,31817.0,,43700.17042,1.599128,1790229902.093455,0.05,20341.0,14489.0,0,,7.27595761418343e-12,0.0,6.30635768175125e-05,2.98427949019242e-12,1.13686837721616e-13,3.12638803734444e-13,6.30635768175125e-05,2.98427949019242e-12,0.0,-1801367.50553954,49.7153414760185,3560.39747969469,89625231.550993,3.52335395580486e-13,1.13686837721616e-13,3.12638803734444e-13,89625231.550993,0.256944893655997,0.0,-1801367.50553954,True,False,False,False,31.480891784,True
pilot-cplex-completo-v1_completo_000027-Base-g0.01-s1,pilot,24,48,Full,v1_completo_000027,data/benchmark-v1/completo/v1_completo_000027.txt,d5f70f358698752a2d2497e187877a23c23ee2af027b26479f3689756023e593,Base,cplex,0.01,1,7200.0,1,solver-robustness-v1,bee029090366943c2496a73a20240bfe5700fbd938e38f8542334561728cb78f,699fddaf6c983966dc9f6cffd8bc9952f59e030e,d7279d978438547fa2203930a8f0839b0854d4f85a384fc4388dab18d07d7a19,22.1.2.0,1e-06,1e-05,solver default,solver default,node11.datos.cluster.uy,Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,5807950,24,2026-09-24T06:04:22+00:00,2026-09-24T06:04:49+00:00,26.54930623061955,0,COMPLETED,False,False,,,,,,-1801370.0,OPTIMAL,19.744374028,0.13966800421246,-1801366.341891548,-1803882.2743098228,441.0,21947.0,,27493.093494,1.599128,1790229874.410281,0.04,20341.0,14489.0,0,,7.27595761418343e-12,0.0,2.46968120336533e-05,3.52335395580486e-13,1.13686837721616e-13,2.98427949019242e-13,2.46968120336533e-05,2.04636307898909e-12,0.0,-1801366.34189155,49.7153414760185,3560.46622195443,89626719.4180845,3.52335395580486e-13,1.13686837721616e-13,2.98427949019242e-13,89626719.4180845,0.256944893655997,0.0,-1801366.34189155,True,False,False,False,19.744374028,True
pilot-cplex-completo-v1_completo_000050-Base-g0.001-s1,pilot,20,41,Full,v1_completo_000050,data/benchmark-v1/completo/v1_completo_000050.txt,96d985e3ab6e0a182863fc2ca400b0f99fc0af3767687e7006181c9154bb5aca,Base,cplex,0.001,1,7200.0,1,solver-robustness-v1,bee029090366943c2496a73a20240bfe5700fbd938e38f8542334561728cb78f,699fddaf6c983966dc9f6cffd8bc9952f59e030e,d7279d978438547fa2203930a8f0839b0854d4f85a384fc4388dab18d07d7a19,22.1.2.0,1e-06,1e-05,solver default,solver default,node12.datos.cluster.uy,Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,5807945,20,2026-09-24T08:04:24+00:00,2026-09-24T10:04:49+00:00,7225.76321933046,0,TIME_LIMIT,False,False,,,,,,267968.0,TIME_LIMIT,7200.056246055,12.857256920917632,267967.61319501454,233514.32870168073,171216.0,6875711.0,,7414731.269801,0.999767,1790237098.808527,0.05,20360.0,14502.0,0,,7.27595761418343e-12,0.0,3.48524190485477e-06,0.0,2.27373675443232e-13,0.0,5.81145286560059e-07,4.45604095728916e-14,0.0,267967.613195015,16.3946502701045,8181.14267377846,125492358.027467,0.0,2.27373675443232e-13,0.0,125492358.027467,1.0,0.0,267967.613195015,False,True,False,False,72000.0,True
pilot-cplex-completo-v1_completo_000050-Base-g0.01-s1,pilot,20,40,Full,v1_completo_000050,data/benchmark-v1/completo/v1_completo_000050.txt,96d985e3ab6e0a182863fc2ca400b0f99fc0af3767687e7006181c9154bb5aca,Base,cplex,0.01,1,7200.0,1,solver-robustness-v1,bee029090366943c2496a73a20240bfe5700fbd938e38f8542334561728cb78f,699fddaf6c983966dc9f6cffd8bc9952f59e030e,d7279d978438547fa2203930a8f0839b0854d4f85a384fc4388dab18d07d7a19,22.1.2.0,1e-06,1e-05,solver default,solver default,node12.datos.cluster.uy,Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,5807945,20,2026-09-24T06:03:58+00:00,2026-09-24T08:04:23+00:00,7224.816321447492,0,TIME_LIMIT,False,False,,,,,,267940.0,TIME_LIMIT,7200.063376255,12.914160494833874,267940.24205784546,233338.00916824891,157816.0,6636192.0,,7100155.480042,0.999767,1790229875.503905,0.05,20360.0,14502.0,0,,7.27595761418343e-12,0.0,2.68220901489258e-06,0.0,1.13686837721616e-13,0.0,4.74276021122932e-07,6.29450590407837e-14,0.0,267940.242057845,16.3999998405646,8181.14267377846,125492358.027467,0.0,1.13686837721616e-13,0.0,125492358.027467,1.0,0.0,267940.242057845,False,True,False,False,72000.0,True
pilot-cplex-completo-v1_completo_000058-Base-g0.001-s1,pilot,48,97,Full,v1_completo_000058,data/benchmark-v1/completo/v1_completo_000058.txt,8c7e30944144a53c666975c696063023937b21df5783fda1c2ca6795b33dbcf7,Base,cplex,0.001,1,7200.0,1,solver-robustness-v1,bee029090366943c2496a73a20240bfe5700fbd938e38f8542334561728cb78f,699fddaf6c983966dc9f6cffd8bc9952f59e030e,d7279d978438547fa2203930a8f0839b0854d4f85a384fc4388dab18d07d7a19,22.1.2.0,1e-06,1e-05,solver default,solver default,node11.datos.cluster.uy,Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,5808144,48,2026-09-24T06:33:57+00:00,2026-09-24T06:37:12+00:00,194.26939689554274,0,COMPLETED,False,False,,,,,,-520915.0,OPTIMAL,180.238099272,0.097659766330834,-520914.54055706505,-521423.2644801564,12255.0,181779.0,,235393.343742,1.340082,1790231653.556188,0.04,20393.0,14515.0,0,,7.27595761418343e-12,0.0,1.16601586341858e-06,0.0,2.27373675443232e-13,3.77475828372553e-15,3.72529029846191e-09,3.47770651579175e-14,0.0,-520914.540557065,103.08352106905,12337.2733738658,15881666.0553229,0.0,2.27373675443232e-13,3.77475828372553e-15,15881666.0553229,1.0,0.0,-520914.540557065,True,False,False,False,180.238099272,True
pilot-cplex-completo-v1_completo_000058-Base-g0.01-s1,pilot,48,96,Full,v1_completo_000058,data/benchmark-v1/completo/v1_completo_000058.txt,8c7e30944144a53c666975c696063023937b21df5783fda1c2ca6795b33dbcf7,Base,cplex,0.01,1,7200.0,1,solver-robustness-v1,bee029090366943c2496a73a20240bfe5700fbd938e38f8542334561728cb78f,699fddaf6c983966dc9f6cffd8bc9952f59e030e,d7279d978438547fa2203930a8f0839b0854d4f85a384fc4388dab18d07d7a19,22.1.2.0,1e-06,1e-05,solver default,solver default,node11.datos.cluster.uy,Intel(R) Xeon(R) Gold 6138 CPU @ 2.00GHz,5808144,48,2026-09-24T06:31:53+00:00,2026-09-24T06:33:57+00:00,123.68610537983477,0,COMPLETED,False,False,,,,,,-520858.0,OPTIMAL,110.059412321,0.997655369201268,-520857.81716674543,-526054.183145614,7376.0,113414.0,,142503.420106,1.340082,1790231529.572147,0.05,20393.0,14515.0,0,,1.42885043243869e-10,0.0,6.83218240737915e-06,5.3511725531684e-08,2.27373675443232e-13,7.86937140171824e-11,3.72529029846191e-09,1.42885043243869e-10,0.0,-520857.817166745,102.788005928937,12337.2733738658,15881666.0553229,5.3511725531684e-08,2.27373675443232e-13,7.86937140171824e-11,15881666.0553229,1.0,0.0,-520857.817166745,True,False,False,False,110.059412321,True
